"Date","Original Name","English Translation","Category","Amount","Balance After Operation"
"2025-11-11 22:50:14","汇茶 (海口龙华新华北店)","Hui Tea (Haikou Longhua Xinhua North Store)","Food & Dining","-15.00","1866.04"
"2025-11-11 22:15:47","Ride-hailing","Ride-hailing","Transportation","-14.62","1881.04"
"2025-11-11 21:41:28","名创优品海南海口秀英恩祥生活广...","MINISO Hainan Haikou Xiuying Enxiang Life Square...","Souvenirs","-70.70","1895.66"
"2025-11-11 20:01:24","麦当劳","McDonald's","Food & Dining","-34.90","1966.36"
"2025-11-11 18:39:18","假日海滩","Holiday Beach","Entertainment","-6.00","2001.26"
"2025-11-11 16:30:38","假日海滩","Holiday Beach","Entertainment","-14.00","2007.26"
"2025-11-11 12:56:12","海口美兰国际机场(T2国内行李寄存)","Haikou Meilan International Airport (T2 Domestic Luggage Storage)","Travel","-78.00","2021.26"
"2025-11-11 06:44:14","特惠快车打车-季师傅-11月11日行程","Special Express Car-Master Ji-November 11th Trip","Transportation","-67.70","2099.26"
"2025-11-09 23:37:36","滴滴快车打车-杨师傅-11月09日行程","Didi Express Car-Master Yang-November 09th Trip","Transportation","-16.00","1854.22"
"2025-11-09 21:58:55","上海公交-轮渡杨复线-2025-11-09 19...","Shanghai Bus-Ferry Yangfu Line-2025-11-09 19...","Transportation","-2.00","1870.22"
"2025-11-09 21:53:04","上海鸟丸通贸易有限公司","Shanghai Niaowan Tong Trading Co., Ltd.","Souvenirs","-38.94","1872.22"
"2025-11-09 21:31:58","SUNRISEPOP 百联zx创趣场旗舰店...","SUNRISEPOP Bailian ZX Creative Fun Place Flagship Store...","Souvenirs","-89.00","1911.16"
"2025-11-09 18:37:59","新世界百货集团上海汇雅百货有限...","New World Department Store Group Shanghai Huiya Department Store Co....","Food & Dining","-27.00","2000.16"
"2025-11-09 16:34:58","上海蜜雪冰城饮品店","Shanghai Mixue Ice Cream & Tea Drink Shop","Food & Dining","-8.00","2027.16"
"2025-11-09 14:01:51","伽喱博士 Dr.CURRY (世纪大道店)","Dr. CURRY (Century Avenue Store)","Food & Dining","-49.00","2035.16"
"2025-11-08 22:49:06","世纪华联超市","Century Hualian Supermarket","Groceries","-7.00","1084.16"
"2025-11-08 22:48:10","南京东路-浦东南路","Nanjing East Road - Pudong South Road","Transportation","-3.00","1091.16"
"2025-11-08 22:04:47","滴滴快车打车-陈师傅-11月08日行程","Didi Express Car-Master Chen-November 08th Trip","Transportation","-4.10","1094.16"
"2025-11-08 21:35:13","中山东一路二店","Zhongshan East 1st Road No. 2 Store","Groceries","-25.00","1098.26"
"2025-11-08 21:03:17","陆家嘴-豫园","Lujiazui - Yu Garden","Transportation","-3.00","1123.26"
"2025-11-08 19:41:55","breadsociety麦子仓库世纪汇店","Bread Society Century Link Store","Food & Dining","-33.00","1126.26"
"2025-11-08 18:42:03","breadsociety麦子仓库世纪汇店","Bread Society Century Link Store","Food & Dining","-35.00","1159.26"
"2025-11-08 17:27:35","蜜雪冰城922635店","Mixue Ice Cream & Tea 922635 Store","Food & Dining","-10.00","1194.26"
"2025-11-08 04:20:24","滴滴快车打车预付车费","Didi Express Car Pre-paid Fare","Transportation","-161.50","1121.26"
"2025-11-08 01:25:46","淀山湖大道店","Dianshan Lake Avenue Store","Groceries","-45.10","1282.76"
"2025-11-07 18:21:28","上海豪普生达商业管理有限公司","Shanghai Haopushengda Commercial Management Co., Ltd.","Food & Dining","-23.00","1327.86"
"2025-11-06 23:45:48","船长酒吧 The Captain","The Captain Bar","Entertainment","-726.00","1350.86"
"2025-11-06 22:34:27","滴滴打车-茅师傅","Didi Taxi - Master Mao","Transportation","-30.00","2076.86"
"2025-11-06 18:25:36","上海洽画餐饮有限公司","Shanghai Qiahua Catering Co., Ltd.","Food & Dining","-30.00","2106.86"
"2025-11-06 17:55:03","Transfer-alexakmaev(AKMAEV AL...","Transfer-alexakmaev(AKMAEV AL...","Transfers","-65.00","2136.86"
"2025-11-06 17:46:00","Transfer-alexakmaev(AKMAEV AL...","Transfer-alexakmaev(AKMAEV AL...","Transfers","-21.00","2201.86"
"2025-11-05 18:25:04","上海洽画餐饮有限公司","Shanghai Qiahua Catering Co., Ltd.","Food & Dining","-27.00","2222.86"
"2025-11-05 13:31:07","午后","Afternoon","Food & Dining","-7.20","2249.86"
"2025-11-03 13:36:29","地铁-会展中心-2025-11-03 13:18:32-...","Metro-Convention and Exhibition Center-2025-11-03 13:18:32-...","Transportation","-2.00","2257.06"
